Designator,Val,Package,Mid X,Mid Y,Rotarion,Layer
AE301,915MHz,Texas_SWRA416_868MHz_915MHz,88.900000,-114.000000,90.000000,top
C202,100n,C_0603_1608Metric,122.000000,-125.000000,-45.000000,top
C203,10p,C_0603_1608Metric,123.200000,-123.800000,-45.000000,top
C301,33p,C_0603_1608Metric,109.135782,-103.840491,-45.000000,top
C302,33p,C_0603_1608Metric,104.635782,-108.340491,135.000000,top
C303,100n,C_0603_1608Metric,114.285782,-106.290491,45.000000,top
C304,100n,C_0603_1608Metric,114.435782,-112.890491,-45.000000,top
C305,100n,C_0603_1608Metric,112.635782,-105.690491,45.000000,top
C306,100n,C_0603_1608Metric,112.035782,-115.290491,-45.000000,top
C307,1.5p,C_0603_1608Metric,104.009525,-113.068650,-135.000000,top
C308,1p,C_0603_1608Metric,105.299996,-115.490491,-45.000000,top
C309,100p,C_0603_1608Metric,106.272268,-119.008347,135.000000,top
C310,1.5p,C_0603_1608Metric,103.899996,-117.690491,-135.000000,top
C311,3.3p,C_0603_1608Metric,100.575000,-121.200000,180.000000,top
C312,47p,C_0603_1608Metric,98.200000,-125.400000,-90.000000,top
C313,12p,C_0603_1608Metric,97.400000,-123.000000,180.000000,top
C401,1n,C_0603_1608Metric,161.400000,-114.000000,180.000000,top
C501,100n,C_0603_1608Metric,144.200000,-100.800000,-90.000000,top
C601,1n,C_0603_1608Metric,114.400000,-133.000000,90.000000,top
C602,100n,C_0603_1608Metric,107.000000,-136.400000,90.000000,top
C701,100n,C_0603_1608Metric,131.600000,-102.400000,0.000000,top
C702,100n,C_0603_1608Metric,131.200000,-127.400000,0.000000,top
C801,100n,C_0603_1608Metric,137.500000,-107.150000,135.000000,top
C802,100n,C_0603_1608Metric,136.100000,-112.150000,-135.000000,top
C1101,100uF,CP_Elec_6.3x4.5,115.200000,-96.300000,90.000000,top
C1102,100n,C_0603_1608Metric,115.975000,-102.800000,0.000000,top
J1001,Debugger Pin,PinHeader_1x07_P2.54mm_Vertical,150.925000,-110.630000,0.000000,top
L301,12n,L_0603_1608Metric,106.835782,-112.690491,-135.000000,top
L302,12n,L_0603_1608Metric,108.035782,-113.890491,-135.000000,top
L303,18n,L_0603_1608Metric,107.536222,-117.726715,135.000000,top
L304,18n,L_0603_1608Metric,102.699996,-116.490491,-135.000000,top
L305,12n,L_0603_1608Metric,103.200000,-122.012499,-90.000000,top
L306,12n,L_0603_1608Metric,100.600000,-123.000000,180.000000,top
L307,3.3n,L_0603_1608Metric,96.600000,-125.400000,90.000000,top
R201,10k,R_0603_1608Metric,124.400000,-112.200000,-45.000000,top
R301,56k,R_0603_1608Metric,113.235783,-114.090491,-45.000000,top
R401,22k,R_0603_1608Metric,161.400000,-111.600000,0.000000,top
R402,1k,R_0603_1608Metric,165.000000,-111.600000,0.000000,top
R403,2k2,R_0603_1608Metric,165.000000,-114.088888,0.000000,top
R404,3k3,R_0603_1608Metric,165.000000,-116.577776,0.000000,top
R405,3k3,R_0603_1608Metric,165.000000,-119.066664,0.000000,top
R406,3k3,R_0603_1608Metric,165.000000,-121.555552,0.000000,top
R407,4k7,R_0603_1608Metric,165.000000,-124.044440,0.000000,top
R408,5k6,R_0603_1608Metric,165.000000,-126.533328,0.000000,top
R409,10k,R_0603_1608Metric,165.000000,-129.022216,0.000000,top
R410,10k,R_0603_1608Metric,165.000000,-131.511104,0.000000,top
R411,22k,R_0603_1608Metric,165.000000,-134.000000,0.000000,top
R601,22k,R_0603_1608Metric,112.000000,-133.000000,-90.000000,top
R602,1k,R_0603_1608Metric,112.000000,-136.400000,-90.000000,top
R603,2k2,R_0603_1608Metric,114.400000,-136.400000,-90.000000,top
R604,3k3,R_0603_1608Metric,150.800000,-140.400000,-90.000000,top
R605,3k3,R_0603_1608Metric,148.800000,-140.400000,-90.000000,top
R606,3k3,R_0603_1608Metric,146.800000,-140.400000,-90.000000,top
R607,4k7,R_0603_1608Metric,144.800000,-140.400000,-90.000000,top
R608,5k6,R_0603_1608Metric,142.800000,-140.400000,-90.000000,top
R609,100,R_0603_1608Metric,104.600000,-136.400000,-90.000000,top
R701,100,R_0603_1608Metric,128.200000,-102.400000,180.000000,top
R702,100,R_0603_1608Metric,128.000000,-127.400000,180.000000,top
R703,10k,R_0603_1608Metric,122.400000,-104.600000,45.000000,top
R704,10k,R_0603_1608Metric,122.600000,-129.600000,45.000000,top
R801,4k7,R_0603_1608Metric,141.300000,-113.550000,135.000000,top
R802,4k7,R_0603_1608Metric,137.300000,-113.350000,45.000000,top
R901,100,R_0603_1608Metric,167.470000,-140.200000,-90.000000,top
R902,100,R_0603_1608Metric,164.960000,-140.200000,-90.000000,top
R903,100,R_0603_1608Metric,162.450000,-140.200000,-90.000000,top
R904,100,R_0603_1608Metric,159.940000,-140.200000,-90.000000,top
R1001,10,R_0603_1608Metric,147.175000,-113.460000,0.000000,top
R1002,10,R_0603_1608Metric,147.175000,-115.970000,0.000000,top
R1003,10,R_0603_1608Metric,147.175000,-118.480000,0.000000,top
R1004,10,R_0603_1608Metric,147.175000,-120.990000,0.000000,top
R1005,10,R_0603_1608Metric,147.175000,-123.500000,0.000000,top
U201,STM32G070KBTx,LQFP-32_7x7mm_P0.8mm,127.500000,-119.000000,45.000000,top
U301,CC1101RGPR,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,110.885782,-110.090491,-135.000000,top
U801,LIS3DHTR,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,139.400000,-110.400000,45.000000,top
Y301,27MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,106.885782,-106.090490,-135.000000,top
